englishTerm,koreanTerm,explanation
Antimicrobial,항미생물제,세균성질병의 치료에 쓰이는 약제로서 먹이거나 주사 또는 약욕등과 같은 방법으로 병원을 죽이거나 발육을 저지하고, 항생물질, 약제, 설파제 및 nitrofuran제는 주로 먹이거나 주사에 사용함.[농촌진흥청]

Antimicrobial,항균제,생물의 생장을 억제하는데 사용되는 제제.[농촌진흥청]
Antipyretic,해열제,약품
Antithrombotic,혈전약,혈액 응고에 관여하는 혈소판의 작용을 억제하는 약. 주로 동맥 혈전성 질환 치료에 사용하는 것으로, 디피리다몰ㆍ아스피린ㆍ티클로피딘(ticlopidine) 따위가 있다.[표준국어대사전]
Antithrombotic,항혈전제,혈액 응고에 관여하는 혈소판의 작용을 억제하는 약. 주로 동맥 혈전성 질환 치료에 사용하는 것으로, 디피리다몰ㆍ아스피린ㆍ티클로피딘(ticlopidine) 따위가 있다.[표준국어대사전]
Antituberculosis drug,항결핵제,
Antitumor agent,항암제,암뿐만 아니라, 악성종양에 대하여 사용되고 있는 것은, 화학적 성질에 의하여 세포독으로서 작용하는 것에 알킬화제(나이트로젠마스타드, 트리에티렌메라닝 등), 대사길항제(퓨린대사길항제, 필리미진대사길항제, 엽산대사길항제, 글타민대사길항제), 식물알칼로이드(빈알칼로이드, 코르히틴 등), 항생물질(잘코마이신, 마이트마이신C, 아크티노마이신D, 다우노마이신, 블레오마이신, 다그티노마이신, 네오칼티노스타틴 등), 기타(아스파라기나제, OK-432, 레티닌 등)이 있고, 대부분은 종양세포의 핵산(核酸), 누크레오티도대사에 영향을 주는 물질이다. 기타, 종양세포의 증식인자를 억제하는 것(성호르몬, 부신피질호르몬)이나 항종양면역촉진제가 있다. 후자는 뚜렷한 효과가 있는 것은 발견되지 않았고 현재 악성종양의 예방요법과 함께 연구중인 약물이다.[간호학대사전]
Antitussive,진해제,기침을 진정시키는 약물. 기침은 기도내이물이나 분비물에 의한 기계적 및 화학적 자극에 의하는 경우와 기도점막의 건조, 염증, 궤양 등의 자극에 따라 기침의 발생을 일으키기 쉬운 경우의 둘이 있다. 이에 따라, 치료의 방법이 달라진다. 원인의 제거가 가장 기본으로 외과적수단, 거담제, 항염증약, 실내의 가습, 정온제 등도 효과가 있다. 대증적으로서의 진해제에는 중추성의 것 (코데인, 모르핀 등의 마약성진해제, 노르카핀, 텍스트로메트로판, 치페피진, 크로펠라스친, 옥솔라민, 알베타펜탄, 아로크라미드 이소아미닐, 에프라지논, 옥셀라진, 크로프치놀, 지메몰판, 피코페리다민(피코펠린) 등의 비마약성진해제와 말초 성의 것(벤조나테이트)이 있다.[간호학대사전]
Anuria,무뇨(증),1) 신장에 의한 오줌의 분비, 배설이 완전히 억제된 것. 2) 신장으로부터 소변생성이 하루에 200cc 미만인 상태로 이 증상이 지속되면 노폐물질이 체내에 축적되어 결과적으로 사망하게 된다. 신장내의 정상 소변생성은 매 시간 60~120cc이다. 소변내의 이물질은 검사에 의하여 발견되는데, 소변에 혈액이 섞이면 소변이 암갈색으로 변하고, 탁한 흰색의 소변은 농이 있는 것을 나타내며, 소변내에 알부민이 있는 경우에도 탁한 색이 나타난다.[간호학대사전]
Anuria,무뇨,1) 신장에 의한 오줌의 분비, 배설이 완전히 억제된 것. 2) 신장으로부터 소변생성이 하루에 200cc 미만인 상태로 이 증상이 지속되면 노폐물질이 체내에 축적되어 결과적으로 사망하게 된다. 신장내의 정상 소변생성은 매 시간 60~120cc이다. 소변내의 이물질은 검사에 의하여 발견되는데, 소변에 혈액이 섞이면 소변이 암갈색으로 변하고, 탁한 흰색의 소변은 농이 있는 것을 나타내며, 소변내에 알부민이 있는 경우에도 탁한 색이 나타난다.[간호학대사전]
Anus,항문,신체 개구부
Anxiety,불안,원인이 무엇인지 모르는 고통이나 염려
Anxiety deteriorated,불안 악화됨,
Anxiety improved,불안 개선됨,
Anxiety stabilized,불안 안정됨,
Apathy,무관심,무관심, 또는 어떤 자극에 대한 감정의 변화가 없는, 기분의 변화가 더딘 상태.
Apathy,무감동,무관심, 또는 어떤 자극에 대한 감정의 변화가 없는, 기분의 변화가 더딘 상태.
Apex,끝,안건이나 문서 따위를 덧붙임.
Apex,꼭지,안건이나 문서 따위를 덧붙임.
Apgar score,아프가점수,아프가지수. 신생아상태의 수적 표현으로서, 보통 생후 6초의 시점에서 결정하며, 심박수(心搏數), 호흡노력, 근육긴장도, 반사감응성 및 피부색평가의 취득총점을 말한다.
Aphagia,연하 불능,삼키지 못하는 것.
Aphagia,못삼킴증,삼키지 못하는 것.
Aphagia,연하불능증,삼키지 못하는 것.
Aphagopraxia,삼킴곤란,삼키지 못하는 것.
Aphasia,언어상실증,손상된 인지: 말을 이해하고 사용하는 언어기능의 결여나 장애.
Aphasia,실어증,손상된 인지: 말을 이해하고 사용하는 언어기능의 결여나 장애.
Aphthous ulcer,아프타 궤양,혀 표면에 작은 궤양이 생기거나 맛을 느끼는 설유두가 염증으로 붉게 솟아오르는 증상[서울대학교병원 의학정보]
Apparent death,가사,외견상으로는 숨도 안 쉬고 심장도 멈춰 죽은 것 같이 보이나, 실제로는 살아 있어 살아날 가능성이 있는 상태. [두산백과]
Apparent death,겉보기사망,외견상으로는 숨도 안 쉬고 심장도 멈춰 죽은 것 같이 보이나, 실제로는 살아 있어 살아날 가능성이 있는 상태. [두산백과]
Appendix,막창자꼬리,소장과 대장이 이어지는 곳으로 이것의 돌기는 특별한 기능이 없는 해부학적 구조임.
Appendix,충수,소장과 대장이 이어지는 곳으로 이것의 돌기는 특별한 기능이 없는 해부학적 구조임.
Appetite,입맛,상태: 영양소나 특정 종류의 음식에 대한 신체 요구를 충족시키려는 갈망.
Appetite,식욕,상태: 영양소나 특정 종류의 음식에 대한 신체 요구를 충족시키려는 갈망.
Areola,젖꽃판,신체 부분
Areola,유륜,신체 부분
Arm,팔,신체 부분
Arm,상지,신체 부분
Arm board,팔고정대,상지판, 상지부목 ,팔받침대, 팔부목.
Arm sling,팔걸이,
Arrhythmia,부정맥,손상된 심장 과정: 심방, 심실 근육 수축 리듬이 정상범위를 벗어나는 것.
Artefact,인공물,개체
Arterial catheter care,동맥관간호,
Arteriosclerosis,동맥경화증,동맥벽이 복잡한 과정을 거쳐 변형, 경화된 상태를 말한다. 동맥은 부위, 장기에 따라 다양하며 이에 따라 발생 하는 동맥경화도 꽤 다르다. 일반적으로는 (1) 죽상경화(粥狀硬化), 아테롬경화 atherosclerosis(대동맥에서 중등도의 동맥에 일어난다) (2) 세동맥경화arteriolasclerosis(신(賢) 등의 세동맥에 일어나며 고혈압과 밀접하게 관련한다) (3) 멘케벨 그형중막경화 medial sclerosis Monckeberg(사지에 일어나며 석회화가 강하다)로 나누어진다. 그러나 보통 동맥경화라고 하면 죽상경화만을 가리키는 일이 많다. 죽상경화에 의한 질환으로는 동맥의 폐색성변화에 의하는 것이 많다. 병인으로서는 역학적 연구에서 연령외에 고혈압, 고지혈증, 끽연, 비만, 당뇨병 등으로 보고 있다.[간호학대사전]
Arteriovenous fistula,동정맥루,동맥과 정맥사이의 비정상적인 연결통로. 손상에 의하여 생기는 경우가 있으며 선천적 이상으로 나타나는 경우도 있다.
Artery,동맥,혈관
Artifact,인공물,개체
Artificial abortion,인공 유산,목적을 가지고 시행하는 유산.
Artificial arm,인공팔,상지(上肢)의 절단지에 장착하는 것이고 장식의수, 능동의수, 작업의수의 3종류가 있다. 장식의수는 외관을 본래의 손의 모양과 흡사하게 한 것으로 움직임은 없다. 능동의수는 손의 관절부위에서의 내전ㆍ외전운동이나 엄지와 다른 4손가락의 대립운동을, 어깨의 움직임을 이용해서 끈으로 전달하는 방식으로 행하는 것이다. 작업의수는 외관보다는 능률을 위주로 한 것이고 후크(갈고리모양)형의 손끝으로 물건을 집고 유지 및 견인할 수 있는 것이다. 최근에는 전동의수나 가스의수 등 동력에 의한 의수의 개발도 진전되고 있다.[간호학대사전]
Artificial arm,인공상지,상지(上肢)의 절단지에 장착하는 것이고 장식의수, 능동의수, 작업의수의 3종류가 있다. 장식의수는 외관을 본래의 손의 모양과 흡사하게 한 것으로 움직임은 없다. 능동의수는 손의 관절부위에서의 내전ㆍ외전운동이나 엄지와 다른 4손가락의 대립운동을, 어깨의 움직임을 이용해서 끈으로 전달하는 방식으로 행하는 것이다. 작업의수는 외관보다는 능률을 위주로 한 것이고 후크(갈고리모양)형의 손끝으로 물건을 집고 유지 및 견인할 수 있는 것이다. 최근에는 전동의수나 가스의수 등 동력에 의한 의수의 개발도 진전되고 있다.[간호학대사전]
Artificial feeding,인공영양,모유를 줄 수 없을 때, 모유 이외의 영양식품으로 유아를 기르는 것이다. 오늘날에는 모유에 가까운 조성을 지닌 특수조정분유가 널리 사용되고 있다. 특히 생후 3개월까지는 우유병, 젖꼭지 등, 기구의 소독을 엄중하게 하여야 한다. 수유량은 유아의 식욕에 따라 정하며 순조로운 체중증가가 있는지 확인하여야 한다. 신생아 감염에 대한 저항성 등의 관점에서 안이하게 모유영양을 포기하고 인공영양으로 전환하는 것은 피해야 한다.[간호학대사전]
Artificial joint,인공관절,오늘날 사용중인 인공관절은 J. Charnley이 개발한 지름 22mm 금속골두대 고밀도폴리에틸렌소켓의 인공고관절이 최초의 것이다. 그 뒤 골시멘트를 사용하지 않는 시멘트레스인공관절도 사용되고 있다.[간호학대사전]
Artificial leg,의족,외상, 종양, 중증 감염증, 기형등으로 사지를 절단하는 경우가 생기는데, 절단한 다리의 결손부에 장착해서 그 기능을 보충하는 것[간호학대사전]
Artificial leg,인공다리,외상, 종양, 중증 감염증, 기형등으로 사지를 절단하는 경우가 생기는데, 절단한 다리의 결손부에 장착해서 그 기능을 보충하는 것[간호학대사전]
Artificial tears,인공눈물,자연눈물을 대체하기 위한 액체화합물의 혼합물. 즉, 건조한 눈이나 각막염. 결막염 환자의 눈에 떨어뜨려 사용할 수 있는 다양한 중합체로 된 약물. 
Ascites,복수,체액 정체: 복부팽만, 부종 및 소변량 감소를 동반한 복강내 수분의 축적상태.
Aspermatism,정액없음(증),성교를 하여도 사정이 되지 않는 것
Asphyxia,질식,손상된 호흡기계 과정: 폐로 공기 유입의 방해, 호흡의 중단 및 가사.
Aspiration,흡인,손상된 호흡기계 과정: 이물질이나 위 내용물의 하부기도 혹은 폐로의 흡입.
Aspiration risk,기도흡인 위험성,
Aspiration risk deteriorated,기도흡인 위험성 악화됨,
Aspiration risk improved,기도흡인 위험성 개선됨,
Aspiration risk stabilized,기도흡인 위험성 안정됨,
Assess activities of daily living,일상생활 활동 사정,
Assess activity care,활동간호 사정,
Assess acute pain control,급성통증조절 사정,
Assess adult day center,주간보호센터 사정,
Assess alcohol abuse control,알콜남용통제 사정,
Assess allergic reaction care,알레르기반응조절 사정,
Assess ambulation therapy,보행요법 사정,
Assess arterial catheter care,동맥관간호 사정,
Assess assistive device therapy,보조기사용간호 사정,
Assess bedbound care,침상간호 사정,
Assess behavior care,행동간호 사정,
Assess bereavement support,사별지지 사정,
Assess bill of rights,환자권리 사정,
Assess bladder care,방광간호 사정,
Assess bladder instillation,방광점적 사정,
Assess bladder ostomy care,방광루간호 사정,
Assess bladder ostomy irrigation,방광루세척 사정,
Assess bladder training,방광훈련 사정,
Assess blood pressure,혈압 사정,
Assess blood specimen care,혈액검사간호 사정,
